2017/18,Aug-17,Southern,South Tyrone,Type 3,2658,0,0,2658
2017/18,Aug-17,Western,Altnagelvin Area,Type 1,3809,"1,533.00",15,5357
2017/18,Aug-17,Western,South West Acute,Type 1,2266,762,11,3039
2017/18,Aug-17,Western,Tyrone County,Type 3,1266,5,0,1271
2017/18,Sep-17,Belfast,Mater,Type 1,2972,"1,054.00",40,4066
2017/18,Sep-17,Belfast,Royal Victoria,Type 1,5598,"2,641.00",64,8303
2017/18,Sep-17,Belfast,RBHSC,Type 1,2611,479,0,3090
2017/18,Sep-17,Belfast,Royal Victoria (RAES),Type 2,1335,146,0,1481
2017/18,Sep-17,Northern,Antrim Area,Type 1,3984,"2,551.00",325,6860
2017/18,Sep-17,Northern,Causeway,Type 1,2380,"1,199.00",30,3609
2017/18,Sep-17,Northern,Mid-Ulster,Type 3,816,0,0,816
2017/18,Sep-17,South Eastern,Ards MIU,Type 3,1000,0,0,1000
2017/18,Sep-17,South Eastern,Bangor MIU,Type 3,847,0,0,847
2017/18,Sep-17,South Eastern,Downe,Type 2,1748,117,1,1866
2017/18,Sep-17,South Eastern,Lagan Valley,Type 2,1808,227,0,2035
2017/18,Sep-17,South Eastern,Ulster,Type 1,5361,"2,315.00",249,7925
2017/18,Sep-17,Southern,Craigavon Area,Type 1,4911,"2,043.00",73,7027
2017/18,Sep-17,Southern,Daisy Hill,Type 1,3513,972,42,4527
2017/18,Sep-17,Southern,South Tyrone,Type 3,2699,0,0,2699
2017/18,Sep-17,Western,Altnagelvin Area,Type 1,3692,"1,642.00",84,5418
2017/18,Sep-17,Western,South West Acute,Type 1,2216,581,11,2808
2017/18,Sep-17,Western,Tyrone County,Type 3,1245,0,0,1245
2017/18,Oct-17,Belfast,Mater,Type 1,3084,974,71,4129
2017/18,Oct-17,Belfast,Royal Victoria,Type 1,5670,"2,679.00",82,8431
2017/18,Oct-17,Belfast,RBHSC,Type 1,2936,704,0,3640
2017/18,Oct-17,Belfast,Royal Victoria (RAES),Type 2,1216,287,0,1503
2017/18,Oct-17,Northern,Antrim Area,Type 1,4385,"2,527.00",268,7180
2017/18,Oct-17,Northern,Causeway,Type 1,2501,"1,192.00",26,3719
2017/18,Oct-17,Northern,Mid-Ulster,Type 3,831,0,0,831
2017/18,Oct-17,South Eastern,Ards MIU,Type 3,1075,0,0,1075
2017/18,Oct-17,South Eastern,Bangor MIU,Type 3,915,0,0,915
2017/18,Oct-17,South Eastern,Downe,Type 2,1763,138,3,1904
2017/18,Oct-17,South Eastern,Lagan Valley,Type 2,1867,213,0,2080
2017/18,Oct-17,South Eastern,Ulster,Type 1,5453,"2,478.00",300,8231
2017/18,Oct-17,Southern,Craigavon Area,Type 1,4989,"2,203.00",120,7312
2017/18,Oct-17,Southern,Daisy Hill,Type 1,3513,"1,071.00",94,4678
2017/18,Oct-17,Southern,South Tyrone,Type 3,2623,0,0,2623
2017/18,Oct-17,Western,Altnagelvin Area,Type 1,3584,"1,625.00",39,5248
2017/18,Oct-17,Western,South West Acute,Type 1,2208,619,7,2834
2017/18,Oct-17,Western,Tyrone County,Type 3,1256,2,0,1258
2017/18,Nov-17,Belfast,Mater,Type 1,2994,793,50,3837
2017/18,Nov-17,Belfast,Royal Victoria,Type 1,5567,"2,218.00",81,7866
2017/18,Nov-17,Belfast,RBHSC,Type 1,2877,940,0,3817
2017/18,Nov-17,Belfast,Royal Victoria (RAES),Type 2,1210,186,0,1396
2017/18,Nov-17,Northern,Antrim Area,Type 1,4200,"2,626.00",257,7083
2017/18,Nov-17,Northern,Causeway,Type 1,2330,"1,047.00",44,3421
2017/18,Nov-17,Northern,Mid-Ulster,Type 3,827,0,0,827
2017/18,Nov-17,South Eastern,Ards MIU,Type 3,987,0,0,987
2017/18,Nov-17,South Eastern,Bangor MIU,Type 3,807,0,0,807
2017/18,Nov-17,South Eastern,Downe,Type 2,1601,150,17,1768
2017/18,Nov-17,South Eastern,Lagan Valley,Type 2,1808,246,1,2055
2017/18,Nov-17,South Eastern,Ulster,Type 1,5161,"2,457.00",403,8021
2017/18,Nov-17,Southern,Craigavon Area,Type 1,4681,"2,450.00",175,7306
2017/18,Nov-17,Southern,Daisy Hill,Type 1,3194,"1,149.00",137,4480
2017/18,Nov-17,Southern,South Tyrone,Type 3,2349,0,0,2349
2017/18,Nov-17,Western,Altnagelvin Area,Type 1,3860,"1,361.00",17,5238
2017/18,Nov-17,Western,South West Acute,Type 1,2276,422,8,2706
2017/18,Nov-17,Western,Tyrone County,Type 3,1196,1,0,1197
2017/18,Dec-17,Belfast,Mater,Type 1,2989,"1,013.00",129,4131
2017/18,Dec-17,Belfast,Royal Victoria,Type 1,4755,"3,086.00",173,8014
2017/18,Dec-17,Belfast,RBHSC,Type 1,2705,842,0,3547
2017/18,Dec-17,Belfast,Royal Victoria (RAES),Type 2,1116,143,0,1259
2017/18,Dec-17,Northern,Antrim Area,Type 1,3939,"2,593.00",649,7181
2017/18,Dec-17,Northern,Causeway,Type 1,2205,"1,260.00",190,3655
2017/18,Dec-17,Northern,Mid-Ulster,Type 3,617,0,0,617
2017/18,Dec-17,South Eastern,Ards MIU,Type 3,752,0,0,752
2017/18,Dec-17,South Eastern,Bangor MIU,Type 3,610,0,0,610
2017/18,Dec-17,South Eastern,Downe,Type 2,1567,222,40,1829
